channel,parameter,true_value,fitted_value
Shopify,adstock_decay,0.5,0.6045763057134088
Shopify,hill_alpha (shape),2.0,1.0
Shopify,hill_K (saturation_point),10000.0,14536.780767200611
Shopify,hill_beta (max_effect),15000.0,21389.65732305678
Shopify,mROI_at_avg_spend,,0.20713057350698316
TikTok,adstock_decay,0.2,0.10769682333224556
TikTok,hill_alpha (shape),2.5,1.7258528634070232
TikTok,hill_K (saturation_point),12000.0,14536.780750821426
TikTok,hill_beta (max_effect),25000.0,21389.6575453019
TikTok,mROI_at_avg_spend,,0.7215131032034373
Meta,adstock_decay,0.7,0.5136264557922594
Meta,hill_alpha (shape),3.0,1.0
Meta,hill_K (saturation_point),8000.0,14536.780708800698
Meta,hill_beta (max_effect),10000.0,21389.657264368823
Meta,mROI_at_avg_spend,,0.20879384660450728
